brand;processor_brand;ram_gb;ram_type;os;os_bit;graphic_card_gb;weight;display_size;warranty;Touchscreen;msoffice;price
ASUS;Intel;16;DDR4;Windows;64;0;Casual;14;1;No;No;59990
ASUS;Intel;8;DDR4;Windows;64;0;ThinNlight;14.1;1;No;Yes;44990
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;63990
ASUS;AMD;16;DDR4;Windows;64;4;Gaming;17.3;0;No;No;82990
ASUS;AMD;16;LPDDR4X;Windows;64;4;Casual;13.4;1;Yes;Yes;114990
ASUS;Intel;4;DDR4;Windows;64;0;Casual;15.6;1;No;No;35990
HP;AMD;16;DDR4;Windows;64;0;Casual;13.3;1;Yes;Yes;98020
DELL;Intel;16;DDR4;Windows;64;2;Casual;14;1;No;Yes;69490
ASUS;Intel;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;38490
acer;Intel;;;Missing;32;0;Casual;0;0;No;No;99990
ASUS;Intel;4;DDR4;Windows;64;0;Casual;0;0;No;No;22990
APPLE;Intel;16;LPDDR4X;Mac;64;0;Casual;13;1;No;No;179990
HP;MediaTek;4;DDR4;Missing;32;0;Casual;0;0;No;No;22990
DELL;Intel;16;DDR4;Windows;64;0;Casual;14;1;Yes;Yes;89390
ASUS;Intel;8;LPDDR4X;Windows;64;0;ThinNlight;13.3;0;No;No;74990
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;54990
acer;AMD;;;Missing;32;6;Casual;0;0;No;No;93700
DELL;Intel;8;DDR4;Windows;32;0;Casual;15.6;0;No;No;43800
HP;Intel;16;DDR4;Windows;64;4;Casual;15.6;1;No;Yes;93190
Lenovo;Intel;4;DDR4;Windows;64;0;ThinNlight;15;1;No;Yes;38990
APPLE;Apple;16;Unified;Mac;64;0;Casual;14.2;1;No;No;225990
acer;AMD;4;DDR4;Windows;64;0;Casual;15.6;0;No;No;34990
Lenovo;Intel;8;DDR4;Windows;64;0;Casual;14;3;Yes;Yes;64990
Lenovo;Intel;8;DDR4;Windows;64;4;Casual;15.6;1;No;Yes;66490
DELL;AMD;8;DDR4;Windows;64;0;ThinNlight;15.6;0;No;No;40590
HP;Intel;8;DDR4;Windows;64;4;Gaming;15.6;1;No;Yes;71990
HP;AMD;16;DDR4;Windows;64;0;ThinNlight;13.3;1;Yes;Yes;92990
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;48990
DELL;Intel;16;DDR4;Windows;64;2;Casual;15.6;1;No;Yes;89702
Lenovo;Intel;4;DDR4;Windows;64;0;Casual;15.6;1;No;Yes;44990
ASUS;Intel;16;LPDDR4X;Windows;64;0;Casual;13.3;1;No;Yes;94990
Lenovo;Intel;16;DDR4;Windows;64;0;Casual;14;3;Yes;Yes;84990
HP;AMD;16;DDR4;Windows;64;2;Casual;14;1;No;Yes;63990
